City_ID,City,Country,Lat,Lng,Max Temp,Min Temp,Humidity,Cloudiness,Wind Speed,Current Description
101,carnot,CF,4.9409,15.8665,72.3,72.3,94,96,2.35,light rain
102,sola,VU,-13.8833,167.55,81.16,81.16,75,95,12.44,overcast clouds
103,hasaki,JP,35.7333,140.8333,62.6,55.4,88,75,13.8,light rain
104,sitka,US,57.0531,-135.33,35.6,35.6,64,90,14.97,light snow
105,celestun,MX,20.8667,-90.4,73.15,73.15,62,6,13.56,clear sky
106,geraldton,AU,-28.7667,114.6,71.6,71.6,35,0,13.8,clear sky
107,takhtamygda,RU,54.1,123.5667,2.77,2.77,98,60,0.43,broken clouds
108,lorengau,PG,-2.0226,147.2712,83.16,83.16,76,100,8.59,overcast clouds
109,baghdad,IQ,33.3406,44.4009,62.6,62.6,39,0,2.3,clear sky
110,qaanaaq,GL,77.484,-69.3632,-7.42,-7.42,99,100,4.29,overcast clouds
111,lodja,CD,-3.4833,23.4333,69.75,69.75,94,70,0.36,broken clouds
112,salalah,OM,17.0151,54.0924,77.0,77.0,73,0,3.44,clear sky
113,tarazona,ES,41.9,-1.7333,44.01,32.0,61,35,19.57,scattered clouds
114,mujiayingzi,CN,42.1167,118.7833,24.28,24.28,42,61,15.32,broken clouds
115,flagstaff,US,35.1981,-111.6513,59.0,53.6,40,20,20.71,few clouds
116,touros,BR,-5.1989,-35.4608,80.6,80.6,69,20,10.36,few clouds
117,nuuk,GL,64.1835,-51.7216,30.2,30.0,80,75,11.5,broken clouds
118,portland,US,45.5234,-122.6762,52.0,46.99,76,90,8.05,overcast clouds
119,teguise,ES,29.0605,-13.564,64.4,64.4,68,75,12.66,broken clouds
120,mamallapuram,IN,12.6264,80.1722,75.2,75.2,94,40,0.49,mist
121,trairi,BR,-3.2778,-39.2689,78.93,78.93,75,2,9.01,clear sky
122,lompoc,US,34.6391,-120.4579,60.8,50.0,48,20,20.71,few clouds
123,carnarvon,AU,-24.8667,113.6333,71.6,71.6,88,0,6.91,clear sky
124,la palma,US,33.8464,-118.0467,68.0,62.6,55,20,11.5,few clouds
125,te anau,NZ,-45.4167,167.7167,55.65,55.65,73,78,0.31,broken clouds
126,sao joao da barra,BR,-21.6403,-41.0511,80.6,80.6,74,0,16.11,clear sky
127,alofi,NU,-19.0595,-169.9187,84.2,84.2,74,89,9.22,light rain
128,pacific grove,US,36.6177,-121.9166,57.2,53.01,58,1,12.66,clear sky
129,hualmay,PE,-11.0964,-77.6139,75.61,75.61,69,5,8.52,clear sky
130,iqaluit,CA,63.7506,-68.5145,-4.0,-4.0,65,20,13.8,few clouds
131,ambunti,PG,-4.2365,142.8448,75.92,75.92,97,100,0.54,overcast clouds
132,east london,ZA,-33.0153,27.9116,69.96,69.96,80,53,16.42,light rain
133,comodoro rivadavia,AR,-45.8667,-67.5,62.6,62.6,48,0,13.8,clear sky
134,luderitz,NA,-26.6481,15.1594,66.49,66.49,70,4,24.45,clear sky
135,cabo san lucas,MX,22.8909,-109.9124,86.0,82.4,21,20,9.22,few clouds
136,eirunepe,BR,-6.6603,-69.8736,77.68,77.68,90,100,2.95,overcast clouds
137,guerrero negro,MX,27.9769,-114.0611,71.71,71.71,50,40,20.8,scattered clouds
138,burns lake,CA,54.2331,-125.7533,32.0,32.0,40,59,9.22,broken clouds
139,egvekinot,RU,66.3167,-179.1667,-4.76,-4.76,79,100,9.66,overcast clouds
140,saint simons,US,31.1352,-81.3901,55.4,55.0,67,90,17.27,overcast clouds
141,desaguadero,PE,-16.5656,-69.0417,53.91,53.91,50,47,3.53,scattered clouds
142,epe,NG,6.5841,3.9834,78.4,78.4,79,99,4.18,light rain
143,xichang,CN,27.8964,102.2634,47.66,47.66,72,19,4.63,few clouds
144,hofn,IS,64.2539,-15.2082,41.16,41.16,64,100,11.03,overcast clouds
145,gat,IL,31.61,34.7642,63.0,59.0,62,0,1.99,clear sky
146,tiksi,RU,71.6872,128.8694,-17.66,-17.66,99,100,11.3,overcast clouds
147,tuatapere,NZ,-46.1333,167.6833,54.0,54.0,96,93,5.01,overcast clouds
148,kosh-agach,RU,50.0,88.6667,8.29,8.29,42,94,2.62,overcast clouds
149,hanmer springs,NZ,-42.5167,172.8167,63.55,63.55,53,0,2.37,clear sky
150,cayenne,GF,4.9333,-52.3333,80.6,80.01,83,90,4.61,overcast clouds
151,sorland,NO,67.667,12.6934,34.34,34.34,72,100,36.48,light snow
152,muroto,JP,33.2833,134.15,60.8,60.8,100,75,3.44,broken clouds
153,kiunga,PG,-6.1219,141.2906,72.9,72.9,99,100,3.53,light rain
154,deputatskiy,RU,69.3,139.9,-19.26,-19.26,99,81,2.62,broken clouds
155,pevek,RU,69.7008,170.3133,-21.69,-21.69,96,24,3.02,few clouds
156,flic en flac,MU,-20.2742,57.3631,80.01,78.8,89,75,10.36,light rain
157,biltine,TD,14.5333,20.9167,85.37,85.37,11,30,15.14,scattered clouds
158,ambilobe,MG,-13.2,49.05,74.25,74.25,94,77,2.48,broken clouds
159,lebu,CL,-37.6167,-73.65,60.44,60.44,73,5,6.55,clear sky
160,lagos,NG,6.5833,3.75,78.93,78.93,77,100,3.29,overcast clouds
161,cabra,ES,37.4725,-4.4421,44.6,44.6,61,0,4.61,clear sky
162,fairbanks,US,64.8378,-147.7164,19.0,15.8,38,1,10.36,clear sky
163,adrar,MR,20.5022,-10.0711,70.5,70.5,10,70,9.71,broken clouds
164,kavieng,PG,-2.5744,150.7967,84.13,84.13,74,66,10.83,moderate rain
165,norman wells,CA,65.282,-126.8329,-0.4,-0.4,60,40,12.66,scattered clouds
166,yumen,CN,40.2833,97.2,24.44,24.44,27,0,7.02,clear sky
167,grand gaube,MU,-20.0064,57.6608,80.01,80.01,84,12,8.99,light rain
168,hazorasp,UZ,41.3194,61.0742,42.8,42.8,87,54,4.61,broken clouds
169,olafsvik,IS,64.8945,-23.7142,41.67,41.67,84,100,30.18,light rain
170,constitucion,CL,-35.3333,-72.4167,62.08,62.08,71,100,8.72,overcast clouds
171,nynashamn,SE,58.9034,17.9479,39.99,32.0,85,95,5.01,overcast clouds
172,mocuba,MZ,-16.8392,36.9856,72.55,72.55,97,94,1.7,light rain
173,bambous virieux,MU,-20.3428,57.7575,80.01,78.8,89,75,10.36,moderate rain
174,agogo,GH,6.8,-1.0819,73.63,73.63,89,61,3.22,moderate rain
