City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
150,Sao Filipe,CV,2021-03-08 20:26:30,14.8961,-24.4956,69.78,77,13,12.17
151,Gambissara,SN,2021-03-08 20:26:30,13.2382,-14.3108,91.27,14,0,6.17
152,Onega,RU,2021-03-08 20:26:31,63.9061,38.1404,-18.51,87,14,4.52
153,Sabha,LY,2021-03-08 20:26:31,27.0377,14.4283,80.78,16,100,5.41
154,Isangel,VU,2021-03-08 20:26:32,-19.55,169.2667,68.0,100,20,9.17
155,Maragogi,BR,2021-03-08 20:26:32,-9.0122,-35.2225,80.92,76,17,10.45
156,Bethel,US,2021-03-08 20:25:44,41.3712,-73.414,39.2,26,1,6.91
157,Bafra,TR,2021-03-08 20:26:33,41.5678,35.9069,44.01,74,64,1.99
158,Narsaq,GL,2021-03-08 20:25:22,60.9167,-46.05,28.4,86,75,3.44
159,Ternate,ID,2021-03-08 20:26:34,0.8,127.4,80.17,80,84,7.96
160,Port Elizabeth,ZA,2021-03-08 20:26:34,-33.918,25.5701,64.4,82,75,9.22
161,Sovetskiy,RU,2021-03-08 20:26:35,61.3614,63.5842,-4.38,92,100,4.9
162,Coquimbo,CL,2021-03-08 20:26:35,-29.9533,-71.3436,69.8,68,40,12.66
163,Perbaungan,ID,2021-03-08 20:26:35,3.5679,98.956,77.0,94,20,4.61
164,Cairns,AU,2021-03-08 20:26:36,-16.9167,145.7667,77.0,83,76,5.75
165,Upernavik,GL,2021-03-08 20:26:36,72.7868,-56.1549,-4.61,83,88,10.74
166,Hofn,IS,2021-03-08 20:25:42,64.2539,-15.2082,42.8,93,75,3.44
167,Flin Flon,CA,2021-03-08 20:26:36,54.7682,-101.865,39.2,52,20,12.66
168,Kalabo,ZM,2021-03-08 20:26:37,-14.97,22.6814,68.68,78,4,3.36
169,Atambua,ID,2021-03-08 20:26:37,-9.1061,124.8925,73.58,90,87,2.01
170,Yerbogachen,RU,2021-03-08 20:26:38,61.2767,108.0108,2.03,93,76,6.51
171,Gat,IL,2021-03-08 20:25:07,31.61,34.7642,55.99,100,0,2.95
172,Kjollefjord,NO,2021-03-08 20:26:38,70.9457,27.3465,14.0,85,40,10.36
173,Xixiang,CN,2021-03-08 20:26:39,35.1628,112.865,42.6,80,2,3.56
