City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
470,formosa,AR,89.6,overcast clouds,-26.1775,-58.1781,Hotel Portal del Sol
473,the valley,AI,80.6,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
474,lazaro cardenas,MX,84.76,clear sky,17.9583,-102.2,Hotel Quinta Antigua
475,vao,NC,75.94,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
476,sokolo,ML,80.73,few clouds,14.7328,-6.1219,
490,qui nhon,VN,76.77,broken clouds,13.7667,109.2333,Hoang Yen Canary Hotel
496,da nang,VN,78.8,scattered clouds,16.0678,108.2208,Sun River Hotel
500,kavaratti,IN,82.47,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
503,honiara,SB,83.5,light rain,-9.4333,159.95,Heritage Park Hotel
507,adiake,CI,80.6,few clouds,5.2863,-3.304,Monhotel résidence Inn Adiake
529,yola,NG,80.58,overcast clouds,9.2,12.4833,Muna Hotel
533,puerto leguizamo,CO,88.14,broken clouds,-0.1934,-74.7819,la casona de juancho
534,ban nahin,LA,76.75,scattered clouds,18.2418,104.2122,
537,koulikoro,ML,86.68,scattered clouds,14.0,-7.75,
540,kaura namoda,NG,84.92,scattered clouds,12.5898,6.5779,Moonlight Hotel
541,quatre cocos,MU,80.01,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
546,nioro,GM,76.77,broken clouds,13.35,-15.75,
555,ranong,TH,76.17,broken clouds,9.9658,98.6348,Tinidee Hotel@Ranong
560,kulhudhuffushi,MV,82.78,clear sky,6.6221,73.07,Haajy Guest House 1
562,daura,NG,82.92,broken clouds,11.5538,11.4085,
565,port moresby,PG,79.38,overcast clouds,-9.4431,147.1797,Lamana Hotel
566,augusto correa,BR,75.16,broken clouds,-1.0217,-46.635,Fazenda Bacuri
571,katherine,AU,75.2,broken clouds,-14.4667,132.2667,Pine Tree Motel
579,fomboni,KM,84.04,few clouds,-12.28,43.7425,Auberge les abou
580,bonthe,SL,77.56,few clouds,7.5264,-12.505,Bonthe Holiday Village
582,morondava,MG,79.03,clear sky,-20.2833,44.2833,La Case Bambou
583,kirakira,SB,82.11,light rain,-10.4544,161.9205,SanBiz Lodge
591,mayumba,GA,78.15,light rain,-3.432,10.6554,LIKWALE LODGE
595,buala,SB,83.77,light rain,-8.145,159.5921,Maringe Lagoon Lodge
603,isabela,PH,78.8,light rain,6.7085,121.9711,Isawad Resort
617,omboue,GA,77.79,light rain,-1.5746,9.2618,Hotel Olako
619,gweta,BW,79.11,broken clouds,-20.1833,25.2333,Gweta Lodge
630,samut sakhon,TH,82.99,few clouds,13.5833,100.3,Taweesuk Residence
642,chazuta,PE,77.0,broken clouds,-6.5742,-76.1367,Hospedaje Feliz Amanecer
643,caxito,AO,80.6,light rain,-8.5785,13.6643,
645,bentiu,SS,87.58,clear sky,9.2333,29.8333,Mandela hôtel
646,puerto escondido,MX,84.2,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
660,banda aceh,ID,79.34,overcast clouds,5.5577,95.3222,Sulthan Hotel International
661,matara,LK,76.23,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
662,linden,GY,84.2,few clouds,6.0,-58.3,Crimson Bat Hotel
664,sorong,ID,80.17,moderate rain,-0.8833,131.25,The Waigo Hotel
666,monteagudo,BO,84.2,light rain,-19.8167,-63.9833,"Residencial ""OLIVIA"""
668,sucua,EC,75.2,moderate rain,-2.4667,-78.1667,Hotel Orellana
669,kendari,ID,75.2,broken clouds,-3.945,122.4989,Hotel Wixel
673,cockburn town,TC,78.8,few clouds,21.4612,-71.1419,Osprey Beach Hotel
676,paciran,ID,78.35,overcast clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
681,nova olimpia,BR,76.35,broken clouds,-14.7972,-57.2881,Motel glamour
684,inirida,CO,83.08,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
687,enugu,NG,77.61,overcast clouds,6.4402,7.4943,Bontera Suite
689,bara,NG,87.3,broken clouds,10.3744,10.7288,
691,jeremie,HT,77.7,scattered clouds,18.65,-74.1167,Auberge’Inn
695,porto franco,BR,75.79,heavy intensity rain,-6.3383,-47.3992,Saint Louis Hotel
